Показатель	Страна	Год	Индекcы цен
Индекс потребительских цен, 2010 г.=100	Австрия	1990	65.7
Индекс потребительских цен, 2010 г.=100	Австрия	1991	67.9
Индекс потребительских цен, 2010 г.=100	Австрия	1992	70.6
Индекс потребительских цен, 2010 г.=100	Австрия	1993	73.2
Индекс потребительских цен, 2010 г.=100	Австрия	1994	75.3
Индекс потребительских цен, 2010 г.=100	Австрия	1995	77.0
Индекс потребительских цен, 2010 г.=100	Австрия	1996	78.4
Индекс потребительских цен, 2010 г.=100	Австрия	1997	79.5
Индекс потребительских цен, 2010 г.=100	Австрия	1998	80.2
Индекс потребительских цен, 2010 г.=100	Австрия	1999	80.6
Индекс потребительских цен, 2010 г.=100	Австрия	2000	82.6
Индекс потребительских цен, 2010 г.=100	Австрия	2001	84.8
Индекс потребительских цен, 2010 г.=100	Австрия	2002	86.3
Индекс потребительских цен, 2010 г.=100	Австрия	2003	87.5
Индекс потребительских цен, 2010 г.=100	Австрия	2004	89.3
Индекс потребительских цен, 2010 г.=100	Австрия	2005	91.4
Индекс потребительских цен, 2010 г.=100	Австрия	2006	92.7
Индекс потребительских цен, 2010 г.=100	Австрия	2007	94.7
Индекс потребительских цен, 2010 г.=100	Австрия	2008	97.7
Индекс потребительских цен, 2010 г.=100	Австрия	2009	98.2
Индекс потребительских цен, 2010 г.=100	Австрия	2010	100.0
Индекс потребительских цен, 2010 г.=100	Австрия	2011	103.3
Индекс потребительских цен, 2010 г.=100	Австрия	2012	105.9
Индекс потребительских цен, 2010 г.=100	Австрия	2013	108.0
Индекс потребительских цен, 2010 г.=100	Австрия	2014	109.7
Индекс потребительских цен, 2010 г.=100	Австрия	2015	110.7
Индекс потребительских цен, 2010 г.=100	Австрия	2016	111.7
Индекс потребительских цен, 2010 г.=100	Австрия	2017	114.0
Индекс потребительских цен, 2010 г.=100	Австрия	2018	116.3
Индекс потребительских цен, 2010 г.=100	Австрия	2019	118.1
Индекс потребительских цен, 2010 г.=100	Австрия	2020	119.7
Индекс потребительских цен, 2010 г.=100	Австрия	2021	123.0
Индекс потребительских цен, 2010 г.=100	Австрия	2022	133.5
Индекс потребительских цен, 2010 г.=100	Азербайджан	1990	..
Индекс потребительских цен, 2010 г.=100	Азербайджан	1991	..
Индекс потребительских цен, 2010 г.=100	Азербайджан	1992	..
Индекс потребительских цен, 2010 г.=100	Азербайджан	1993	..
Индекс потребительских цен, 2010 г.=100	Азербайджан	1994	..
Индекс потребительских цен, 2010 г.=100	Азербайджан	1995	..
Индекс потребительских цен, 2010 г.=100	Азербайджан	1996	..
Индекс потребительских цен, 2010 г.=100	Азербайджан	1997	..
Индекс потребительских цен, 2010 г.=100	Азербайджан	1998	..
Индекс потребительских цен, 2010 г.=100	Азербайджан	1999	..
Индекс потребительских цен, 2010 г.=100	Азербайджан	2000	48.9
Индекс потребительских цен, 2010 г.=100	Азербайджан	2001	49.6
Индекс потребительских цен, 2010 г.=100	Азербайджан	2002	51.0
Индекс потребительских цен, 2010 г.=100	Азербайджан	2003	52.2
Индекс потребительских цен, 2010 г.=100	Азербайджан	2004	55.7
Индекс потребительских цен, 2010 г.=100	Азербайджан	2005	61.0
Индекс потребительских цен, 2010 г.=100	Азербайджан	2006	66.1
Индекс потребительских цен, 2010 г.=100	Азербайджан	2007	77.1
Индекс потребительских цен, 2010 г.=100	Азербайджан	2008	93.2
Индекс потребительских цен, 2010 г.=100	Азербайджан	2009	94.6
Индекс потребительских цен, 2010 г.=100	Азербайджан	2010	100.0
Индекс потребительских цен, 2010 г.=100	Азербайджан	2011	107.9
Индекс потребительских цен, 2010 г.=100	Азербайджан	2012	109.0
Индекс потребительских цен, 2010 г.=100	Азербайджан	2013	111.6
Индекс потребительских цен, 2010 г.=100	Азербайджан	2014	113.2
Индекс потребительских цен, 2010 г.=100	Азербайджан	2015	117.7
Индекс потребительских цен, 2010 г.=100	Азербайджан	2016	132.4
Индекс потребительских цен, 2010 г.=100	Азербайджан	2017	149.5
Индекс потребительских цен, 2010 г.=100	Азербайджан	2018	152.9
Индекс потребительских цен, 2010 г.=100	Азербайджан	2019	156.9
Индекс потребительских цен, 2010 г.=100	Азербайджан	2020	161.2
Индекс потребительских цен, 2010 г.=100	Азербайджан	2021	171.9
Индекс потребительских цен, 2010 г.=100	Азербайджан	2022	195.8
Индекс потребительских цен, 2010 г.=100	Албания	1990	..
Индекс потребительских цен, 2010 г.=100	Албания	1991	5.1
Индекс потребительских цен, 2010 г.=100	Албания	1992	16.7
Индекс потребительских цен, 2010 г.=100	Албания	1993	30.8
Индекс потребительских цен, 2010 г.=100	Албания	1994	37.8
Индекс потребительских цен, 2010 г.=100	Албания	1995	40.8
Индекс потребительских цен, 2010 г.=100	Албания	1996	46.0
Индекс потребительских цен, 2010 г.=100	Албания	1997	61.2
Индекс потребительских цен, 2010 г.=100	Албания	1998	73.8
Индекс потребительских цен, 2010 г.=100	Албания	1999	74.1
Индекс потребительских цен, 2010 г.=100	Албания	2000	74.1
Индекс потребительских цен, 2010 г.=100	Албания	2001	76.4
Индекс потребительских цен, 2010 г.=100	Албания	2002	80.4
Индекс потребительских цен, 2010 г.=100	Албания	2003	82.3
Индекс потребительских цен, 2010 г.=100	Албания	2004	84.7
Индекс потребительских цен, 2010 г.=100	Албания	2005	86.7
Индекс потребительских цен, 2010 г.=100	Албания	2006	88.7
Индекс потребительских цен, 2010 г.=100	Албания	2007	91.3
Индекс потребительских цен, 2010 г.=100	Албания	2008	94.4
Индекс потребительских цен, 2010 г.=100	Албания	2009	96.6
Индекс потребительских цен, 2010 г.=100	Албания	2010	100.0
Индекс потребительских цен, 2010 г.=100	Албания	2011	103.4
Индекс потребительских цен, 2010 г.=100	Албания	2012	105.5
Индекс потребительских цен, 2010 г.=100	Албания	2013	107.6
Индекс потребительских цен, 2010 г.=100	Албания	2014	109.3
Индекс потребительских цен, 2010 г.=100	Албания	2015	111.4
Индекс потребительских цен, 2010 г.=100	Албания	2016	112.8
Индекс потребительских цен, 2010 г.=100	Албания	2017	115.0
Индекс потребительских цен, 2010 г.=100	Албания	2018	117.4
Индекс потребительских цен, 2010 г.=100	Албания	2019	119.0
Индекс потребительских цен, 2010 г.=100	Албания	2020	121.0
Индекс потребительских цен, 2010 г.=100	Албания	2021	123.4
Индекс потребительских цен, 2010 г.=100	Албания	2022	131.8
Индекс потребительских цен, 2010 г.=100	Андорра	1990	..
Индекс потребительских цен, 2010 г.=100	Андорра	1991	..
Индекс потребительских цен, 2010 г.=100	Андорра	1992	..
Индекс потребительских цен, 2010 г.=100	Андорра	1993	..
Индекс потребительских цен, 2010 г.=100	Андорра	1994	..
Индекс потребительских цен, 2010 г.=100	Андорра	1995	..
Индекс потребительских цен, 2010 г.=100	Андорра	1996	..
Индекс потребительских цен, 2010 г.=100	Андорра	1997	..
Индекс потребительских цен, 2010 г.=100	Андорра	1998	72.2
Индекс потребительских цен, 2010 г.=100	Андорра	1999	73.5
Индекс потребительских цен, 2010 г.=100	Андорра	2000	76.0
Индекс потребительских цен, 2010 г.=100	Андорра	2001	79.1
Индекс потребительских цен, 2010 г.=100	Андорра	2002	81.5
Индекс потребительских цен, 2010 г.=100	Андорра	2003	84.0
Индекс потребительских цен, 2010 г.=100	Андорра	2004	86.4
Индекс потребительских цен, 2010 г.=100	Андорра	2005	89.5
Индекс потребительских цен, 2010 г.=100	Андорра	2006	92.8
Индекс потребительских цен, 2010 г.=100	Андорра	2007	95.2
Индекс потребительских цен, 2010 г.=100	Андорра	2008	99.6
Индекс потребительских цен, 2010 г.=100	Андорра	2009	98.4
Индекс потребительских цен, 2010 г.=100	Андорра	2010	100.1
Индекс потребительских цен, 2010 г.=100	Андорра	2011	102.6
Индекс потребительских цен, 2010 г.=100	Андорра	2012	104.1
Индекс потребительских цен, 2010 г.=100	Андорра	2013	104.6
Индекс потребительских цен, 2010 г.=100	Андорра	2014	104.5
Индекс потребительских цен, 2010 г.=100	Андорра	2015	103.4
Индекс потребительских цен, 2010 г.=100	Андорра	2016	102.9
Индекс потребительских цен, 2010 г.=100	Андорра	2017	105.6
Индекс потребительских цен, 2010 г.=100	Андорра	2018	106.6
Индекс потребительских цен, 2010 г.=100	Андорра	2019	107.2
Индекс потребительских цен, 2010 г.=100	Андорра	2020	107.3
Индекс потребительских цен, 2010 г.=100	Андорра	2021	109.1
Индекс потребительских цен, 2010 г.=100	Андорра	2022	115.9
Индекс потребительских цен, 2010 г.=100	Армения	1990	..
Индекс потребительских цен, 2010 г.=100	Армения	1991	..
Индекс потребительских цен, 2010 г.=100	Армения	1992	..
Индекс потребительских цен, 2010 г.=100	Армения	1993	0.3
Индекс потребительских цен, 2010 г.=100	Армения	1994	16.0
Индекс потребительских цен, 2010 г.=100	Армения	1995	44.3
Индекс потребительских цен, 2010 г.=100	Армения	1996	52.6
Индекс потребительских цен, 2010 г.=100	Армения	1997	59.9
Индекс потребительских цен, 2010 г.=100	Армения	1998	65.1
Индекс потребительских цен, 2010 г.=100	Армения	1999	65.5
Индекс потребительских цен, 2010 г.=100	Армения	2000	65.0
Индекс потребительских цен, 2010 г.=100	Армения	2001	67.0
Индекс потребительских цен, 2010 г.=100	Армения	2002	67.8
Индекс потребительских цен, 2010 г.=100	Армения	2003	71.0
Индекс потребительских цен, 2010 г.=100	Армения	2004	75.9
Индекс потребительских цен, 2010 г.=100	Армения	2005	76.4
Индекс потребительских цен, 2010 г.=100	Армения	2006	78.6
Индекс потребительских цен, 2010 г.=100	Армения	2007	82.0
Индекс потребительских цен, 2010 г.=100	Армения	2008	89.4
Индекс потребительских цен, 2010 г.=100	Армения	2009	92.4
Индекс потребительских цен, 2010 г.=100	Армения	2010	100.0
Индекс потребительских цен, 2010 г.=100	Армения	2011	107.6
Индекс потребительских цен, 2010 г.=100	Армения	2012	110.4
Индекс потребительских цен, 2010 г.=100	Армения	2013	116.8
Индекс потребительских цен, 2010 г.=100	Армения	2014	120.3
Индекс потребительских цен, 2010 г.=100	Армения	2015	124.8
Индекс потребительских цен, 2010 г.=100	Армения	2016	123.0
Индекс потребительских цен, 2010 г.=100	Армения	2017	124.2
Индекс потребительских цен, 2010 г.=100	Армения	2018	127.3
Индекс потребительских цен, 2010 г.=100	Армения	2019	129.2
Индекс потребительских цен, 2010 г.=100	Армения	2020	130.7
Индекс потребительских цен, 2010 г.=100	Армения	2021	140.1
Индекс потребительских цен, 2010 г.=100	Армения	2022	152.2
Индекс потребительских цен, 2010 г.=100	Беларусь	1990	..
Индекс потребительских цен, 2010 г.=100	Беларусь	1991	..
Индекс потребительских цен, 2010 г.=100	Беларусь	1992	..
Индекс потребительских цен, 2010 г.=100	Беларусь	1993	..
Индекс потребительских цен, 2010 г.=100	Беларусь	1994	..
Индекс потребительских цен, 2010 г.=100	Беларусь	1995	..
Индекс потребительских цен, 2010 г.=100	Беларусь	1996	..
Индекс потребительских цен, 2010 г.=100	Беларусь	1997	..
Индекс потребительских цен, 2010 г.=100	Беларусь	1998	..
Индекс потребительских цен, 2010 г.=100	Беларусь	1999	..
Индекс потребительских цен, 2010 г.=100	Беларусь	2000	16.1
Индекс потребительских цен, 2010 г.=100	Беларусь	2001	25.9
Индекс потребительских цен, 2010 г.=100	Беларусь	2002	36.9
Индекс потребительских цен, 2010 г.=100	Беларусь	2003	47.4
Индекс потребительских цен, 2010 г.=100	Беларусь	2004	55.9
Индекс потребительских цен, 2010 г.=100	Беларусь	2005	61.7
Индекс потребительских цен, 2010 г.=100	Беларусь	2006	66.0
Индекс потребительских цен, 2010 г.=100	Беларусь	2007	71.6
Индекс потребительских цен, 2010 г.=100	Беларусь	2008	82.2
Индекс потребительских цен, 2010 г.=100	Беларусь	2009	92.8
Индекс потребительских цен, 2010 г.=100	Беларусь	2010	100.0
Индекс потребительских цен, 2010 г.=100	Беларусь	2011	153.2
Индекс потребительских цен, 2010 г.=100	Беларусь	2012	244.0
Индекс потребительских цен, 2010 г.=100	Беларусь	2013	288.6
Индекс потребительских цен, 2010 г.=100	Беларусь	2014	341.0
Индекс потребительских цен, 2010 г.=100	Беларусь	2015	387.1
Индекс потребительских цен, 2010 г.=100	Беларусь	2016	432.9
Индекс потребительских цен, 2010 г.=100	Беларусь	2017	459.0
Индекс потребительских цен, 2010 г.=100	Беларусь	2018	481.4
Индекс потребительских цен, 2010 г.=100	Беларусь	2019	508.3
Индекс потребительских цен, 2010 г.=100	Беларусь	2020	536.5
Индекс потребительских цен, 2010 г.=100	Беларусь	2021	587.3
Индекс потребительских цен, 2010 г.=100	Беларусь	2022	676.6
Индекс потребительских цен, 2010 г.=100	Бельгия	1990	66.4
Индекс потребительских цен, 2010 г.=100	Бельгия	1991	68.6
Индекс потребительских цен, 2010 г.=100	Бельгия	1992	70.2
Индекс потребительских цен, 2010 г.=100	Бельгия	1993	72.2
Индекс потребительских цен, 2010 г.=100	Бельгия	1994	73.9
Индекс потребительских цен, 2010 г.=100	Бельгия	1995	75.0
Индекс потребительских цен, 2010 г.=100	Бельгия	1996	76.5
Индекс потребительских цен, 2010 г.=100	Бельгия	1997	77.8
Индекс потребительских цен, 2010 г.=100	Бельгия	1998	78.5
Индекс потребительских цен, 2010 г.=100	Бельгия	1999	79.4
Индекс потребительских цен, 2010 г.=100	Бельгия	2000	81.4
Индекс потребительских цен, 2010 г.=100	Бельгия	2001	83.4
Индекс потребительских цен, 2010 г.=100	Бельгия	2002	84.8
Индекс потребительских цен, 2010 г.=100	Бельгия	2003	86.2
Индекс потребительских цен, 2010 г.=100	Бельгия	2004	88.0
Индекс потребительских цен, 2010 г.=100	Бельгия	2005	90.4
Индекс потребительских цен, 2010 г.=100	Бельгия	2006	92.0
Индекс потребительских цен, 2010 г.=100	Бельгия	2007	93.7
Индекс потребительских цен, 2010 г.=100	Бельгия	2008	97.9
Индекс потребительских цен, 2010 г.=100	Бельгия	2009	97.9
Индекс потребительских цен, 2010 г.=100	Бельгия	2010	100.0
Индекс потребительских цен, 2010 г.=100	Бельгия	2011	103.5
Индекс потребительских цен, 2010 г.=100	Бельгия	2012	106.5
Индекс потребительских цен, 2010 г.=100	Бельгия	2013	107.7
Индекс потребительских цен, 2010 г.=100	Бельгия	2014	108.0
Индекс потребительских цен, 2010 г.=100	Бельгия	2015	108.6
Индекс потребительских цен, 2010 г.=100	Бельгия	2016	110.8
Индекс потребительских цен, 2010 г.=100	Бельгия	2017	113.1
Индекс потребительских цен, 2010 г.=100	Бельгия	2018	115.4
Индекс потребительских цен, 2010 г.=100	Бельгия	2019	117.1
Индекс потребительских цен, 2010 г.=100	Бельгия	2020	118.0
Индекс потребительских цен, 2010 г.=100	Бельгия	2021	120.9
Индекс потребительских цен, 2010 г.=100	Бельгия	2022	132.5
Индекс потребительских цен, 2010 г.=100	Болгария	1990	..
Индекс потребительских цен, 2010 г.=100	Болгария	1991	0.2
Индекс потребительских цен, 2010 г.=100	Болгария	1992	0.3
Индекс потребительских цен, 2010 г.=100	Болгария	1993	0.5
Индекс потребительских цен, 2010 г.=100	Болгария	1994	1.0
Индекс потребительских цен, 2010 г.=100	Болгария	1995	1.6
Индекс потребительских цен, 2010 г.=100	Болгария	1996	3.6
Индекс потребительских цен, 2010 г.=100	Болгария	1997	41.8
Индекс потребительских цен, 2010 г.=100	Болгария	1998	49.6
Индекс потребительских цен, 2010 г.=100	Болгария	1999	50.9
Индекс потребительских цен, 2010 г.=100	Болгария	2000	56.1
Индекс потребительских цен, 2010 г.=100	Болгария	2001	60.2
Индекс потребительских цен, 2010 г.=100	Болгария	2002	63.7
Индекс потребительских цен, 2010 г.=100	Болгария	2003	65.2
Индекс потребительских цен, 2010 г.=100	Болгария	2004	69.2
Индекс потребительских цен, 2010 г.=100	Болгария	2005	72.7
Индекс потребительских цен, 2010 г.=100	Болгария	2006	78.0
Индекс потребительских цен, 2010 г.=100	Болгария	2007	84.6
Индекс потребительских цен, 2010 г.=100	Болгария	2008	95.0
Индекс потребительских цен, 2010 г.=100	Болгария	2009	97.6
Индекс потребительских цен, 2010 г.=100	Болгария	2010	100.0
Индекс потребительских цен, 2010 г.=100	Болгария	2011	104.2
Индекс потребительских цен, 2010 г.=100	Болгария	2012	107.3
