Показатель	Страна	Год	Краткий обзор стран
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Австрия	1990	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Австрия	1991	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Австрия	1992	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Австрия	1993	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Австрия	1994	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Австрия	1995	23685
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Австрия	1996	24554
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Австрия	1997	25427
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Австрия	1998	26675
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Австрия	1999	27606
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Австрия	2000	29376
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Австрия	2001	29703
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Австрия	2002	31178
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Австрия	2003	32157
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Австрия	2004	33784
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Австрия	2005	35025
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Австрия	2006	37666
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Австрия	2007	39432
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Австрия	2008	41316
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Австрия	2009	40927
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Австрия	2010	42021
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Австрия	2011	44469
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Австрия	2012	46478
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Австрия	2013	47937
