Показатель	Страна	Год	Краткий обзор стран
Общая численность населения	Австрия	1990	7729236
Общая численность населения	Австрия	1991	..
Общая численность населения	Австрия	1992	..
Общая численность населения	Австрия	1993	..
Общая численность населения	Австрия	1994	..
Общая численность населения	Австрия	1995	8046535
Общая численность населения	Австрия	1996	..
Общая численность населения	Австрия	1997	..
Общая численность населения	Австрия	1998	..
Общая численность населения	Австрия	1999	..
Общая численность населения	Австрия	2000	8011566
Общая численность населения	Австрия	2001	8042293
Общая численность населения	Австрия	2002	8081956
Общая численность населения	Австрия	2003	8121423
Общая численность населения	Австрия	2004	8171966
Общая численность населения	Австрия	2005	8227828
Общая численность населения	Австрия	2006	8268641
Общая численность населения	Австрия	2007	8295486
Общая численность населения	Австрия	2008	8321496
Общая численность населения	Австрия	2009	8343323
Общая численность населения	Австрия	2010	8363404
Общая численность населения	Австрия	2011	8391642
Общая численность населения	Австрия	2012	8429990
Общая численность населения	Австрия	2013	8479823
Общая численность населения	Австрия	2014	8546356
Общая численность населения	Австрия	2015	8642698
Общая численность населения	Австрия	2016	8736668
Общая численность населения	Австрия	2017	8797566
Общая численность населения	Австрия	2018	8840521
Общая численность населения	Австрия	2019	8879920
Общая численность населения	Австрия	2020	8916864
Общая численность населения	Австрия	2021	8955796
Общая численность населения	Австрия	2022	..
Общая численность населения	Австрия	2023	..
Общая численность населения	Азербайджан	1990	7175200
Общая численность населения	Азербайджан	1991	..
Общая численность населения	Азербайджан	1992	..
Общая численность населения	Азербайджан	1993	..
Общая численность населения	Азербайджан	1994	..
Общая численность населения	Азербайджан	1995	7684900
Общая численность населения	Азербайджан	1996	..
Общая численность населения	Азербайджан	1997	..
Общая численность населения	Азербайджан	1998	..
Общая численность населения	Азербайджан	1999	..
Общая численность населения	Азербайджан	2000	8073621
Общая численность населения	Азербайджан	2001	8152887
Общая численность населения	Азербайджан	2002	8230305
Общая численность населения	Азербайджан	2003	8309153
Общая численность населения	Азербайджан	2004	8398255
Общая численность населения	Азербайджан	2005	8500251
Общая численность населения	Азербайджан	2006	8609615
Общая численность населения	Азербайджан	2007	8723023
Общая численность населения	Азербайджан	2008	8838511
Общая численность населения	Азербайджан	2009	8947314
Общая численность населения	Азербайджан	2010	9054332
Общая численность населения	Азербайджан	2011	9173082
Общая численность населения	Азербайджан	2012	9295784
Общая численность населения	Азербайджан	2013	9416801
Общая численность населения	Азербайджан	2014	9535079
Общая численность населения	Азербайджан	2015	9649341
Общая численность населения	Азербайджан	2016	9757812
Общая численность населения	Азербайджан	2017	9854033
Общая численность населения	Азербайджан	2018	9939771
Общая численность населения	Азербайджан	2019	9931226
Общая численность населения	Азербайджан	2020	10000064
Общая численность населения	Азербайджан	2021	10044693
Общая численность населения	Азербайджан	2022	..
Общая численность населения	Азербайджан	2023	..
Общая численность населения	Албания	1990	3286542
Общая численность населения	Албания	1991	..
Общая численность населения	Албания	1992	..
Общая численность населения	Албания	1993	..
Общая численность населения	Албания	1994	..
Общая численность населения	Албания	1995	3248836
Общая численность населения	Албания	1996	..
Общая численность населения	Албания	1997	..
Общая численность населения	Албания	1998	..
Общая численность населения	Албания	1999	..
Общая численность населения	Албания	2000	3401198
Общая численность населения	Албания	2001	3060173
Общая численность населения	Албания	2002	3051010
Общая численность населения	Албания	2003	3039616
Общая численность населения	Албания	2004	3026939
Общая численность населения	Албания	2005	3011487
Общая численность населения	Албания	2006	2992547
Общая численность населения	Албания	2007	2970017
Общая численность населения	Албания	2008	2947314
Общая численность населения	Албания	2009	2927519
Общая численность населения	Албания	2010	2913021
Общая численность населения	Албания	2011	2905195
Общая численность населения	Албания	2012	2900401
Общая численность населения	Албания	2013	2895092
