"groupBy","2024-02-01","2024-02-02","2024-02-03","2024-02-04","2024-02-05","2024-02-06","2024-02-07","2024-02-08","2024-02-09","2024-02-10","2024-02-11","2024-02-12","2024-02-13","2024-02-14","2024-02-15","2024-02-16","2024-02-17","2024-02-18","2024-02-19","2024-02-20","2024-02-21","2024-02-22","2024-02-23","2024-02-24","2024-02-25","2024-02-26"
"BoxUsage:c7i.48xlarge","146.21292","166.997456","117.44586","217.420138","164.565112","139.308532","170.781658","301.379404273898","224.645821","311.591967","262.047514","355.274488","548.037862","570.274164","481.978556","647.236229","666.756983","636.902268","764.210857","897.024421","655.813766","137.711545","191.435294","254.34346","332.050462","168.325507"
"BoxUsage:c7i.24xlarge","76.824032","70.674099","52.822913","30.189095","37.625426","44.920126","34.847957","42.830483","44.636898","45.437762","34.062569","43.221979","41.563128","49.51829","49.575405","65.722504","33.270015","37.455266","50.709471","52.250517","77.292883","95.984215","166.257255","197.243699","223.263044","79.288516"
"NatGateway-Bytes","24.089122","23.965398","23.235516","23.684285","25.003675","28.789752","32.094139","33.995475","35.166611","35.128616","35.385993","37.589752","41.118101","44.674332","50.539653","51.143297","50.646062","50.787692","54.286515","53.954964","43.75827","42.171796","43.098092","42.839757","46.933507","49.590464"
"USE1-Kafka.Storage.GP2","11.03448","11.03448","11.03448","11.03448","11.03448","11.03448","11.03448","11.03448","11.03448","11.03448","11.03448","11.03448","11.03448","11.03448","11.03448","11.03448","11.03448","11.03448","11.03448","11.03448","11.03448","11.03448","11.03448","11.03448","11.03448","9.65517"
"SpotUsage:c6a.48xlarge","10.754186","10.859946","39.220587","24.904111","24.794125","36.151853","69.590315","19.174683","52.235108","19.215858","62.63257","50.618148","21.20719","27.951117","118.235876","57.236834","58.282805","60.264306","55.236174","76.913239","31.516921","46.635532","84.403657","61.988419","22.769263","182.367083"
"SpotUsage:c5d.18xlarge","8.688845","7.159479","11.256514","2.882101","5.017853","2.124645","0","0","0","2.231824","3.251231","3.718919","2.809786","6.326775","7.072076","4.825679","0","0","0.081557","6.236916","12.760996","16.307537","0","0","0","0.934302"
"EBS:VolumeUsage.gp3","8.401852","7.247318","6.78958","6.63463","6.517895","6.626322","7.12087199999999","7.052119","7.249985","7.134496","7.292378","6.796055","6.602076","7.702042","9.843565","9.173943","8.721665","8.107818","8.619285","9.172304","7.467626","5.990284","6.878662","7.229115","8.172949","4.508656"
"BoxUsage:c7a.32xlarge","5.569019","4.536228","2.977926","1.561954","0.801045","5.220497","1.488966","2.616633","3.786277","3.527171","1.675085","0.775505","10.844256","3.074636","0.762729","3.603804","0.749958","4.300842","0","2.348403","0","0","0","0","0","0"
"SpotUsage:m6a.xlarge","4.178896","4.1881","4.22475","4.255896","4.187713","4.254966","4.3034","4.3328","4.396436","4.418","4.4708","2.242593","0","2.4404","2.713471","0","0","0","0","0","0","0","0","0","0","0"
"SpotUsage:c6a.xlarge","4.0307","4.0206","4.0059","4.0037","3.9946","2.631472","1.9973","1.9995","2.0046","2.0131","2.0091","2.001","1.9897","1.9897","0.98024","0","0","0","0","0","0","0","0","0","0","0"
